Position,Track Name,Artist,Streams,URL,Week,Embed
51,No Friends In The Industry,Drake,10034595,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,9/10/2021,https://open.spotify.com/embed/track/2tUL6dZf1mywCj5WvCPZw6?utm_source_generator
52,Entre Nosotros,Tiago PZK,10033710,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb,9/10/2021,https://open.spotify.com/embed/track/6w8yBI2vthyN9UnwO4UBWb?utm_source_generator
53,Watermelon Sugar,Harry Styles,9959249,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,9/10/2021,https://open.spotify.com/embed/track/6UelLqGlWMcVH1E5c4H7lY?utm_source_generator
54,Off The Grid,Kanye West,9867544,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs,9/10/2021,https://open.spotify.com/embed/track/2gbMPBrBVj3CuNTLp2dHYs?utm_source_generator
55,MONEY,LISA,9574461,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,9/10/2021,https://open.spotify.com/embed/track/7hU3IHwjX150XLoTVmjD0q?utm_source_generator
56,Leave The Door Open,Bruno Mars,9556410,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,9/10/2021,https://open.spotify.com/embed/track/7MAibcTli4IisCtbHKrGMh?utm_source_generator
57,Don't Go Yet,Camila Cabello,9494671,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,9/10/2021,https://open.spotify.com/embed/track/1058fW9H3fZA6QjYCdOBad?utm_source_generator
58,Like I Can,Sam Smith,9402105,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq,9/10/2021,https://open.spotify.com/embed/track/0mJBiaODgK0XjOLCN5fItq?utm_source_generator
59,happier,Olivia Rodrigo,9335437,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,9/10/2021,https://open.spotify.com/embed/track/2tGvwE8GcFKwNdAXMnlbfl?utm_source_generator
60,DÁKITI,Bad Bunny,9212447,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,9/10/2021,https://open.spotify.com/embed/track/4MzXwWMhyBbmu6hOcLVD49?utm_source_generator
61,TSU,Drake,9123400,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW,9/10/2021,https://open.spotify.com/embed/track/4s7QLoImIwmPi9L6dq1nVW?utm_source_generator
62,Love Tonight - Edit,Shouse,9105727,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP,9/10/2021,https://open.spotify.com/embed/track/6OufwUcCqo81guU2jAlDVP?utm_source_generator
63,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,9098393,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ,9/10/2021,https://open.spotify.com/embed/track/6Dy1jexKYriXAVG6evyUTJ?utm_source_generator
64,Permission to Dance,BTS,9059053,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u,9/10/2021,https://open.spotify.com/embed/track/5eXBXreN3d1zdj6Sa8dS0u?utm_source_generator
65,Mood (feat. iann dior),24kGoldn,9054989,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,9/10/2021,https://open.spotify.com/embed/track/4jPy3l0RUwlUI9T5XHBW2m?utm_source_generator
66,Dark Red,Steve Lacy,8930762,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk,9/10/2021,https://open.spotify.com/embed/track/37y7iDayfwm3WXn5BiAoRk?utm_source_generator
